Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003347s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003201s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003222s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003258s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003292s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003395s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003174s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003255s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003304s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003212s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003208s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003417s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003434s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003389s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003199s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003144s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003350s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003314s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003296s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003241s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003382s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003363s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003117s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003220s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003367s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003204s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003133s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003363s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003287s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003319s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003278s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003149s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003286s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003240s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003358s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003217s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003297s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003315s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003174s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003207s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003348s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003213s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003188s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003390s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003313s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003183s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.002879s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003334s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003276s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003265s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003246s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003209s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003410s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003107s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003290s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003258s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003499s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003440s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003433s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003407s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003522s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.002666s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.002640s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.002842s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.002934s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003212s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003211s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003144s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003532s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003407s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003429s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003393s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003548s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003439s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003462s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003167s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003310s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003228s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003406s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003194s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003252s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003200s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003216s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003383s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003306s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003222s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003199s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003192s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003317s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003235s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003413s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003228s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003261s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003440s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003162s
