Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001499s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001575s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001168s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001288s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001476s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001567s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001340s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.000991s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001240s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001366s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001546s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001310s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001403s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001023s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001608s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001514s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001125s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001484s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001522s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001564s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001433s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.000983s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001471s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001405s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001486s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001222s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001509s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001687s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001088s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001410s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001551s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001240s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001410s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001438s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001183s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001622s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001229s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001523s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001351s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001463s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001594s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001461s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001195s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001178s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001595s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001550s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001560s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001125s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001529s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001534s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001433s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001193s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001583s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001380s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.000917s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001413s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001743s
